id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,team_win_flag,team_margin,win_rate_last_3,avg_score_for_last_3,avg_score_against_last_3,win_rate_last_5,avg_score_for_last_5,avg_score_against_last_5,win_rate_last_10,avg_score_for_last_10,avg_score_against_last_10,win_streak_before_match,days_rest,pair_key,pair_first_team,pair_win,pair_margin,h2h_win_rate_before,h2h_avg_margin_before,match_points,prior_points,prior_score_for,prior_score_against,prior_percentage,ladder_position_before,feature_version
10722,Carlton Blues,1,1983-03-26,1983,H,Richmond Tigers,4.0 8.6 13.9 20.16,136,4.3 7.4 10.9 11.10,76,W,60,Princes Park,28498.0,20,16,11,10,1.0,60,,,,,,,,,,0,,Carlton Blues|Richmond Tigers,Carlton Blues,1.0,60,,,4,0,0,0,,1.0,v1.0
11120,Collingwood Magpies,1,1983-03-26,1983,A,Melbourne Demons,5.7 9.10 15.12 20.15,135,6.2 12.3 17.7 19.11,125,W,10,Melbourne Cricket Ground,72274.0,20,15,19,11,1.0,10,,,,,,,,,,0,,Collingwood Magpies|Melbourne Demons,Collingwood Magpies,1.0,10,,,4,0,0,0,,1.0,v1.0
11905,Fitzroy Lions,1,1983-03-26,1983,H,hawthorn hawks,1.4 5.10 10.12 16.16,112,6.3 12.4 17.8 20.11,131,L,-19,Junction Oval,15626.0,16,16,20,11,0.0,-19,,,,,,,,,,0,,Fitzroy Lions|hawthorn hawks,Fitzroy Lions,0.0,-19,,,0,0,0,0,,1.0,v1.0
12327,Geelong Cats,1,1983-03-26,1983,H,Western Bulldogs,3.2 5.10 8.14 15.16,106,3.2 5.3 9.8 11.9,75,W,31,Waverley Park,18377.0,15,16,11,9,1.0,31,,,,,,,,,,0,,Geelong Cats|Western Bulldogs,Geelong Cats,1.0,31,,,4,0,0,0,,1.0,v1.0
12720,Hawthorn Hawks,1,1983-03-26,1983,A,Fitzroy Lions,6.3 12.4 17.8 20.11,131,1.4 5.10 10.12 16.16,112,W,19,Junction Oval,15626.0,20,11,16,16,1.0,19,,,,,,,,,,0,,Fitzroy Lions|Hawthorn Hawks,Fitzroy Lions,1.0,-19,,,4,0,0,0,,1.0,v1.0
13514,Melbourne Demons,1,1983-03-26,1983,H,Collingwood Magpies,6.2 12.3 17.7 19.11,125,5.7 9.10 15.12 20.15,135,L,-10,Melbourne Cricket Ground,72274.0,19,11,20,15,0.0,-10,,,,,,,,,,0,,Collingwood Magpies|Melbourne Demons,Collingwood Magpies,0.0,10,1.0,10.0,0,0,0,0,,1.0,v1.0
13120,North Melbourne Kangaroos,1,1983-03-26,1983,H,st kilda saints,3.3 6.7 8.11 14.16,100,4.2 8.5 11.11 12.15,87,W,13,Aegis Park,18496.0,14,16,12,15,1.0,13,,,,,,,,,,0,,North Melbourne Kangaroos|st kilda saints,North Melbourne Kangaroos,1.0,13,,,4,0,0,0,,1.0,v1.0
13972,Richmond Tigers,1,1983-03-26,1983,A,Carlton Blues,4.3 7.4 10.9 11.10,76,4.0 8.6 13.9 20.16,136,L,-60,Princes Park,28498.0,11,10,20,16,0.0,-60,,,,,,,,,,0,,Carlton Blues|Richmond Tigers,Carlton Blues,0.0,60,1.0,60.0,0,0,0,0,,1.0,v1.0
14347,St Kilda Saints,1,1983-03-26,1983,A,north melbourne kangaroos,4.2 8.5 11.11 12.15,87,3.3 6.7 8.11 14.16,100,L,-13,Aegis Park,18496.0,12,15,14,16,0.0,-13,,,,,,,,,,0,,St Kilda Saints|north melbourne kangaroos,St Kilda Saints,0.0,-13,,,0,0,0,0,,1.0,v1.0
15420,W. Bulldogs,1,1983-03-26,1983,A,geelong cats,3.2 5.3 9.8 11.9,75,3.2 5.10 8.14 15.16,106,L,-31,Waverley Park,18377.0,11,9,15,16,0.0,-31,,,,,,,,,,0,,W. Bulldogs|geelong cats,W. Bulldogs,0.0,-31,,,0,0,0,0,,1.0,v1.0
